order_id,customer_id,order_date,total_amount
1089,91,2025-11-02,74385
1090,105,2026-04-08,82351
1091,192,2025-11-06,21257
1092,61,2026-07-01,22299
1093,46,2025-08-19,55040
1094,7,2025-08-06,24509
1095,189,2026-01-05,44540
1096,106,2026-04-07,88806
1097,189,2026-05-21,33527
1098,69,2026-05-09,21866
1099,180,2026-02-17,15168
1100,98,2026-05-28,6075
1101,121,2026-01-06,30154
1102,52,2026-05-04,61332
1103,90,2026-06-15,41001
1104,59,2026-03-15,30219
1105,7,2026-04-11,87511
1106,50,2025-12-08,53227
1107,85,2026-06-26,37517
1108,18,2026-07-13,37585
1109,90,2026-04-09,85080
1110,131,2025-12-30,53386
1111,174,2025-12-19,71282
1112,85,2025-09-25,4617
1113,30,2025-08-06,35237
1114,46,2026-02-03,77099
1115,68,2025-11-25,6014
1116,28,2026-06-02,79193
1117,112,2026-07-01,46309
1118,187,2025-11-30,42114
1119,112,2026-03-21,80457
1120,131,2025-08-11,16157
1121,99,2026-04-12,76574
1122,49,2026-03-19,34386
1123,12,2026-05-13,93901
1124,112,2026-05-28,1221
1125,134,2025-07-31,71575
1126,176,2025-11-13,95297
1127,190,2025-08-06,97605
1128,172,2026-06-18,26825
1129,94,2026-06-03,57531
1130,18,2026-04-27,88062
1131,85,2026-04-06,82678
1132,81,2026-05-24,87951
1133,32,2025-11-16,95339
1134,77,2026-03-05,67469
1135,80,2026-01-31,88410
1136,105,2025-12-19,43753
1137,104,2026-05-26,92384
1138,76,2025-10-05,73667
1139,33,2025-07-28,26144
1140,108,2025-12-17,88153
1141,98,2026-06-10,89777
1142,192,2025-10-11,23810
1143,158,2026-07-16,75593
1144,78,2026-03-08,54225
1145,141,2026-03-26,1053
1146,78,2025-11-18,38606
1147,54,2026-04-28,57346
1148,149,2025-08-30,80516
1149,168,2025-07-22,43237
1150,120,2026-02-20,58905
1151,114,2026-01-07,89555
1152,55,2026-06-16,68000
1153,122,2026-01-09,97463
1154,44,2025-09-01,87356
1155,22,2026-01-10,38196
1156,132,2026-05-19,88012
1157,163,2026-07-03,82167
1158,86,2026-05-12,13240
1159,193,2026-02-06,31784
1160,173,2026-04-06,41687
1161,58,2026-07-06,27100
1162,38,2025-08-25,4201
1163,12,2025-09-09,33092
1164,122,2025-11-12,81120
1165,197,2026-01-29,10545
1166,117,2026-01-30,55321
1167,162,2025-11-18,76454
1168,50,2026-01-06,95155
1169,179,2025-09-26,51328
1170,127,2025-12-20,53383
1171,63,2025-11-25,20342
1172,168,2025-09-15,91128
1173,2,2026-01-19,99430
1174,198,2025-11-12,14970
1175,200,2026-06-05,56724
1176,57,2026-01-11,24053
1177,179,2025-08-02,68889
1178,119,2026-04-19,7582
1179,143,2025-10-15,33662
1180,32,2026-07-17,60829
1181,35,2026-04-26,61901
1182,171,2026-05-14,70616
1183,144,2026-05-09,79047
1184,82,2025-08-22,99992
1185,114,2026-01-26,81301
1186,185,2025-12-10,67162
1187,110,2025-12-19,72810
1188,115,2025-11-09,21861
1189,191,2026-02-20,63216
1190,116,2026-05-21,34972
1191,193,2025-12-15,33406
1192,164,2025-08-26,37347
1193,197,2025-09-17,69327
1194,125,2025-12-06,83149
1195,62,2026-07-12,36992
1196,113,2026-01-08,11155
1197,183,2026-05-29,38450
1198,61,2025-07-26,36614
1199,86,2025-10-07,42904
1200,139,2026-03-08,11561
1201,36,2026-03-17,20769
1202,60,2026-03-30,51205
1203,178,2025-11-06,21028
1204,181,2025-12-20,29043
1205,17,2026-03-22,55377
1206,105,2025-07-25,44369
1207,139,2026-01-03,62069
1208,107,2026-06-19,9161
1209,53,2025-08-04,56069
1210,100,2026-07-02,77556
1211,179,2026-07-21,3560
1212,196,2026-04-12,76456
1213,98,2025-08-11,63518
1214,2,2026-04-27,47105
1215,77,2025-10-05,99759
1216,100,2025-08-31,55921
1217,138,2026-01-16,98978
1218,189,2026-05-28,72582
1219,155,2025-11-23,29906
1220,125,2026-06-24,29760
1221,70,2026-06-11,58125
1222,125,2025-07-23,4804
1223,100,2025-11-16,45057
1224,172,2026-05-30,90016
1225,104,2026-02-15,95919
1226,43,2025-08-04,62261
1227,33,2026-05-26,82560
1228,137,2026-03-26,4534
1229,101,2025-12-27,78580
1230,145,2025-08-14,87900
1231,7,2025-11-05,12003
1232,165,2026-01-30,57179
1233,35,2026-05-27,61515
1234,47,2025-11-18,7590
1235,67,2026-04-18,50689
1236,84,2025-08-21,28742
1237,117,2026-03-18,43840
1238,87,2025-07-28,50692
1239,72,2025-11-14,99567
1240,108,2026-07-03,34065
1241,21,2025-11-30,62644
1242,5,2025-12-03,99176
1243,139,2025-10-15,7826
1244,90,2026-07-14,30389
1245,167,2026-03-23,9993
1246,200,2026-01-24,86426
1247,11,2026-03-07,99858
1248,8,2026-02-23,33411
1249,52,2026-01-11,3671
1250,160,2025-07-26,20973
1251,62,2025-08-30,17544
1252,122,2025-08-12,88747
1253,30,2026-01-25,74920
1254,56,2025-11-29,61952
1255,180,2026-05-09,34586
1256,197,2026-04-07,49351
1257,43,2026-01-02,80415
1258,156,2026-05-11,99032
1259,184,2025-07-31,16012
1260,200,2025-12-12,22465
1261,80,2025-09-22,15168
1262,149,2026-04-29,4365
1263,80,2025-12-19,76470
1264,174,2025-08-20,50192
1265,102,2026-06-14,94718
1266,51,2025-08-05,10961
1267,152,2026-05-25,91520
1268,161,2026-03-26,32830
1269,27,2026-07-16,92382
1270,198,2026-06-14,40529
1271,176,2026-07-03,79697
1272,31,2025-09-11,75177
1273,11,2026-05-23,46508
1274,137,2025-09-28,57148
1275,170,2025-09-24,49571
1276,18,2025-08-10,67317
1277,166,2026-01-13,45725
1278,4,2026-01-17,56057
1279,126,2026-05-06,14833
1280,111,2026-07-18,48472
1281,163,2026-02-11,61258
1282,182,2026-06-30,21052
1283,112,2025-09-05,24086
1284,188,2026-06-07,69386
1285,167,2025-12-29,36400
1286,158,2025-09-07,71539
1287,199,2026-06-10,64372
1288,120,2025-12-30,58091
1289,188,2025-12-13,78656
1290,69,2025-11-12,43245
1291,63,2026-07-08,12359
1292,72,2026-07-10,60087
1293,63,2025-12-17,99366
1294,119,2026-02-17,75691
1295,157,2026-01-31,88580
1296,98,2026-03-18,45092
1297,8,2026-01-19,65789
1298,84,2026-01-13,24834
1299,125,2025-11-12,28802
1300,91,2026-05-18,34862
1301,88,2026-07-20,37655
1302,153,2026-04-28,92905
1303,71,2026-03-31,73848
1304,3,2026-06-08,68715
1305,49,2026-06-25,12221
1306,62,2026-02-09,95381
1307,105,2025-10-01,65038
1308,143,2026-06-08,32499
1309,177,2026-02-04,63402
1310,166,2026-01-29,94302
1311,126,2026-03-03,59743
1312,5,2025-10-08,13196
1313,76,2025-07-29,30045
1314,104,2026-03-22,91673
1315,63,2026-07-11,41135
1316,170,2026-02-12,77225
1317,95,2026-03-06,63031
1318,142,2025-12-06,70588
1319,89,2026-07-04,56771
1320,191,2025-10-21,73140
1321,85,2025-11-05,47112
1322,180,2025-08-19,60473
1323,70,2025-08-08,41189
1324,65,2026-05-12,31217
1325,31,2026-03-18,95540
1326,50,2026-04-12,42359
1327,31,2026-02-20,98370
1328,138,2026-03-21,91461
1329,48,2025-08-15,26105
1330,56,2026-06-12,97810
1331,124,2025-11-07,37241
1332,186,2025-08-07,78278
1333,195,2026-06-18,69765
1334,153,2025-12-23,38093
1335,26,2025-12-08,26443
1336,76,2026-03-10,30816
1337,93,2025-08-31,24519
1338,78,2025-08-03,2854
1339,182,2026-04-09,71010
1340,33,2026-04-06,36954
1341,12,2026-03-10,8146
1342,142,2026-05-25,39290
1343,179,2026-03-13,17551
1344,164,2025-09-18,99669
1345,126,2026-04-06,14446
1346,4,2025-08-09,76243
1347,73,2026-03-15,62524
1348,123,2025-08-15,58733
1349,88,2026-05-24,25164
1350,14,2025-10-07,34092
1351,123,2025-08-03,15953
1352,17,2026-02-14,53521
1353,126,2025-09-30,10710
1354,148,2026-03-14,83502
1355,176,2026-06-02,8026
1356,39,2026-05-18,20555
1357,145,2026-07-07,40824
1358,22,2026-02-11,33530
1359,31,2025-08-29,74147
1360,196,2026-05-30,55548
1361,156,2026-04-03,79135
1362,159,2025-10-16,30581
1363,199,2025-10-17,69494
1364,98,2026-04-10,60049
1365,114,2026-01-06,39974
1366,151,2025-11-13,57207
1367,79,2026-05-22,75531
1368,159,2025-09-06,8894
1369,157,2026-05-02,98004
1370,26,2025-10-12,28235
1371,161,2025-09-14,28659
1372,68,2026-01-11,87563
1373,21,2026-02-06,21585
1374,62,2026-07-13,23782
1375,142,2026-06-23,10838
1376,41,2025-12-24,1350
1377,105,2025-11-08,60048
1378,177,2025-10-08,78832
1379,121,2025-11-11,39175
1380,9,2026-06-11,31340
1381,74,2025-10-17,93662
1382,73,2025-09-15,93141
1383,117,2026-07-16,10329
1384,176,2026-07-06,31595
1385,68,2026-04-06,82927
1386,151,2025-10-07,87662
1387,51,2025-09-03,56723
1388,30,2026-07-19,72376
1389,58,2026-06-20,85886
1390,39,2026-05-31,35816
1391,37,2025-09-30,10359
1392,16,2025-10-14,22747
1393,79,2026-05-06,78993
1394,192,2026-02-15,75607
1395,74,2025-09-12,58560
1396,32,2026-04-05,62433
1397,177,2025-10-04,40857
1398,180,2026-05-19,53757
1399,70,2026-06-30,66597
1400,139,2026-01-13,65722
1401,113,2026-06-07,11543
1402,154,2026-05-19,6224
1403,111,2025-09-22,97276
1404,83,2026-03-24,80129
1405,65,2026-04-02,4390
1406,24,2025-11-10,31005
1407,173,2026-06-29,76392
1408,151,2026-03-19,3719
1409,196,2026-07-02,89117
1410,69,2026-01-25,76529
1411,11,2025-08-25,23962
1412,121,2026-02-02,69021
1413,167,2025-07-22,58963
1414,72,2026-05-31,24788
1415,150,2025-07-31,58132
1416,163,2026-02-23,65451
1417,24,2025-12-08,62605
1418,90,2026-05-06,54523
1419,86,2025-10-18,43081
1420,172,2025-10-28,14710
1421,42,2025-10-12,44228
1422,106,2026-07-13,91921
1423,127,2025-08-04,38777
1424,170,2025-11-17,53488
1425,195,2025-08-20,73102
1426,10,2026-06-15,60614
1427,23,2026-06-03,42224
1428,65,2025-12-29,43372
1429,30,2026-07-21,53976
1430,132,2025-10-05,1150
1431,169,2025-12-21,72118
1432,119,2025-10-30,55165
1433,14,2025-12-05,25586
1434,133,2025-10-14,48419
1435,160,2026-05-08,66338
1436,161,2026-03-07,58939
1437,195,2025-09-30,7764
1438,53,2026-01-07,36003
1439,141,2026-01-31,18172
1440,74,2025-07-25,58424
1441,179,2026-03-29,64532
1442,32,2026-01-08,4783
1443,162,2025-07-24,80806
1444,62,2026-05-31,94032
1445,41,2025-10-17,41730
1446,142,2025-12-06,2792
1447,142,2026-01-06,54476
1448,24,2026-05-27,30451
1449,30,2026-04-28,61482
1450,31,2026-04-06,85896
1451,40,2026-02-27,66323
1452,184,2026-06-19,39254
1453,131,2025-10-13,93459
1454,70,2025-12-07,55459
1455,124,2026-06-04,62894
1456,63,2025-10-22,60871
1457,142,2025-10-11,19958
1458,99,2026-07-06,25983
1459,154,2026-07-06,67616
1460,192,2025-10-12,18892
1461,18,2025-12-28,37208
1462,198,2025-09-27,55387
1463,88,2026-07-07,67550
1464,69,2026-06-08,1336
1465,73,2026-03-09,96164
1466,77,2025-11-21,77931
1467,149,2025-11-27,87499
1468,126,2025-11-25,20476
1469,115,2026-07-18,71592
1470,124,2025-10-17,46236
1471,86,2025-09-09,73340
1472,196,2026-06-17,72228
1473,97,2025-09-06,60682
1474,83,2025-08-08,25727
1475,179,2026-05-18,32300
1476,147,2025-10-15,51196
1477,60,2025-11-23,54841
1478,12,2025-12-06,42704
1479,191,2025-08-27,62993
1480,181,2025-10-22,50968
1481,99,2025-11-11,87991
1482,167,2026-02-13,20936
1483,127,2026-04-21,5852
1484,33,2025-09-12,66836
1485,152,2025-08-05,44515
1486,26,2025-12-07,58711
1487,26,2026-01-23,69937
1488,117,2026-02-26,3011
1489,185,2025-08-02,19894
1490,105,2026-04-03,86823
1491,40,2026-01-22,10807
1492,121,2026-07-17,35737
1493,87,2025-12-19,82691
1494,178,2026-04-03,53098
1495,167,2026-04-27,11527
1496,85,2026-01-31,89389
1497,137,2026-06-12,50808
1498,82,2026-06-27,83155
1499,184,2025-12-12,64956
1500,139,2026-04-22,5705
