order_item_id,order_id,product_id,quantity
195,1408,18,5
196,1029,23,5
197,1038,20,4
198,1232,3,1
199,1189,19,1
200,1331,6,5
201,1305,33,4
202,1237,38,5
203,1489,48,1
204,1231,37,2
205,1165,39,4
206,1257,10,1
207,1231,7,3
208,1366,6,5
209,1331,12,1
210,1127,46,4
211,1225,34,5
212,1313,11,3
213,1191,19,4
214,1210,50,3
215,1348,39,1
216,1405,41,3
217,1034,22,1
218,1286,44,4
219,1146,17,5
220,1448,10,3
221,1042,38,2
222,1470,23,3
223,1496,42,4
224,1067,39,1
225,1159,36,4
226,1330,22,2
227,1344,45,5
228,1048,42,4
229,1261,24,1
230,1186,20,2
231,1487,14,3
232,1486,50,4
233,1099,15,2
234,1080,5,3
235,1433,7,5
236,1395,35,5
237,1020,43,3
238,1449,50,5
239,1068,39,4
240,1079,11,2
241,1426,45,5
242,1415,11,4
243,1023,27,3
244,1347,47,2
245,1497,29,5
246,1146,49,4
247,1120,35,2
248,1159,31,2
249,1189,44,5
250,1226,30,3
251,1399,25,5
252,1271,27,2
253,1419,13,5
254,1071,17,1
255,1329,31,3
256,1284,7,5
257,1436,8,3
258,1043,49,2
259,1140,29,5
260,1076,28,1
261,1485,15,4
262,1453,23,1
263,1213,4,4
264,1258,24,2
265,1198,6,3
266,1115,2,3
267,1477,7,3
268,1406,10,2
269,1020,19,4
270,1357,9,4
271,1230,40,1
272,1464,6,1
273,1132,14,2
274,1281,47,5
275,1271,28,1
276,1398,19,2
277,1155,8,1
278,1123,27,5
279,1235,5,1
280,1429,32,5
281,1275,2,5
282,1295,16,2
283,1150,28,1
284,1315,23,2
285,1293,27,2
286,1341,43,1
287,1269,24,1
288,1489,34,5
289,1260,33,5
290,1011,25,4
291,1023,41,4
292,1192,17,1
293,1183,5,3
294,1124,47,1
295,1396,38,3
296,1069,3,3
297,1280,22,2
298,1426,50,4
299,1357,31,2
300,1416,9,1
301,1367,50,4
302,1019,19,2
303,1023,13,1
304,1162,20,5
305,1204,35,4
306,1130,3,2
307,1147,23,1
308,1444,42,3
309,1140,8,3
310,1224,26,4
311,1459,25,3
312,1499,12,4
313,1355,32,3
314,1474,34,3
315,1411,6,4
316,1041,28,5
317,1422,12,5
318,1151,21,1
319,1041,21,3
320,1157,29,5
321,1368,28,2
322,1354,29,3
323,1229,3,3
324,1315,28,3
325,1328,4,1
326,1344,41,4
327,1187,33,2
328,1488,2,2
329,1435,39,4
330,1018,9,1
331,1121,50,3
332,1186,25,5
333,1017,39,2
334,1348,29,3
335,1191,29,1
336,1294,9,5
337,1188,26,3
338,1333,18,2
339,1492,8,1
340,1377,12,4
341,1266,25,5
342,1061,17,3
343,1361,29,2
344,1314,19,4
345,1103,8,2
346,1437,5,4
347,1089,46,4
348,1045,44,3
349,1342,23,1
350,1282,35,3
351,1457,20,2
352,1365,46,2
353,1407,24,5
354,1115,8,2
355,1406,9,2
356,1405,32,1
357,1185,36,5
358,1189,30,5
359,1067,40,1
360,1034,20,4
361,1368,47,4
362,1270,27,4
363,1422,37,1
364,1065,21,1
365,1231,30,5
366,1177,9,5
367,1328,38,2
368,1394,9,4
369,1258,4,1
370,1266,10,3
371,1085,11,3
372,1479,46,2
373,1178,34,3
374,1434,6,3
375,1101,41,5
376,1141,9,3
377,1315,35,1
378,1258,42,2
379,1304,38,2
380,1088,43,5
381,1369,39,3
382,1432,37,1
383,1423,2,1
384,1024,42,5
385,1136,42,2
386,1393,37,4
387,1317,41,1
388,1255,41,5
389,1149,42,3
390,1248,16,4
391,1153,30,1
392,1353,4,2
393,1226,27,4
394,1238,14,3
395,1311,10,3
396,1442,46,3
397,1376,23,4
398,1067,49,3
399,1264,36,1
400,1164,16,4
401,1063,18,4
402,1127,10,1
403,1026,19,4
404,1443,40,4
405,1128,11,3
406,1479,37,3
407,1098,49,2
408,1256,33,4
409,1256,20,4
410,1012,6,4
411,1259,30,2
412,1111,38,3
413,1025,4,3
414,1254,39,4
415,1147,35,1
416,1434,7,4
417,1069,17,3
418,1392,26,3
419,1024,26,1
420,1292,36,2
421,1186,36,3
422,1038,25,5
423,1231,49,5
424,1144,40,5
425,1061,9,1
426,1202,24,3
427,1286,24,2
428,1102,39,5
429,1206,33,1
430,1024,3,2
431,1366,22,4
432,1266,30,2
433,1311,33,2
434,1168,40,3
435,1084,26,5
436,1379,20,5
437,1173,33,5
438,1273,32,5
439,1154,31,1
440,1189,22,1
441,1214,38,3
442,1408,47,1
443,1306,31,3
444,1496,42,5
445,1296,15,1
446,1299,31,2
447,1269,41,5
448,1397,25,2
449,1421,44,2
450,1017,37,1
451,1098,2,4
452,1161,27,2
453,1212,45,2
454,1211,33,5
455,1472,31,1
456,1362,9,5
457,1107,36,3
458,1340,31,5
459,1193,21,2
460,1236,35,3
461,1280,23,3
462,1313,31,2
463,1491,16,3
464,1286,20,2
465,1483,20,3
466,1361,14,4
467,1163,31,3
468,1287,47,3
469,1148,8,5
470,1347,35,4
471,1459,26,3
472,1489,50,2
473,1149,3,3
474,1490,46,1
475,1178,29,3
476,1383,31,2
477,1104,35,3
478,1478,36,3
479,1071,7,5
480,1380,38,2
481,1125,4,5
482,1116,41,2
483,1027,7,4
484,1170,46,4
485,1052,44,2
486,1003,36,2
487,1209,42,4
488,1245,42,2
489,1388,19,3
490,1147,42,1
491,1465,50,1
492,1334,37,2
493,1274,48,1
494,1468,12,4
495,1452,12,1
496,1429,26,4
497,1096,48,3
498,1449,3,1
499,1153,37,5
500,1055,22,3
501,1233,42,5
502,1269,32,2
503,1436,33,4
504,1140,13,1
505,1170,11,4
506,1332,17,2
507,1008,48,3
508,1405,19,5
509,1346,49,2
510,1090,40,4
511,1424,28,5
512,1168,6,4
513,1343,7,2
514,1072,31,3
515,1480,16,1
516,1134,25,2
517,1229,49,3
518,1489,22,3
519,1299,47,5
520,1006,17,3
521,1355,16,1
522,1342,8,4
523,1158,11,4
524,1352,33,3
525,1354,8,3
526,1189,40,2
527,1113,9,4
528,1079,30,5
529,1192,27,5
530,1468,31,5
531,1411,43,2
532,1391,16,5
533,1448,6,5
534,1229,34,3
535,1040,37,1
536,1032,36,5
537,1104,37,5
538,1077,11,3
539,1438,34,4
540,1060,44,2
541,1368,38,4
542,1047,33,4
543,1415,4,4
544,1068,33,4
545,1234,37,1
546,1287,30,3
547,1371,2,4
548,1131,1,2
549,1297,5,1
550,1217,23,1
551,1278,4,1
552,1479,31,1
553,1147,27,2
554,1394,9,4
555,1192,25,4
556,1446,25,4
557,1042,44,5
558,1069,42,3
559,1061,12,5
560,1202,34,2
561,1373,15,1
562,1388,2,3
563,1238,44,5
564,1218,35,4
565,1422,15,2
566,1236,23,2
567,1142,13,1
568,1017,43,4
569,1315,50,1
570,1124,14,1
571,1052,39,1
572,1229,39,1
573,1126,48,1
574,1206,29,2
575,1277,14,1
576,1072,33,3
577,1120,47,5
578,1164,37,5
579,1396,44,3
580,1122,20,2
581,1339,34,2
582,1212,20,3
583,1032,36,5
584,1451,48,2
585,1321,44,4
586,1285,32,1
587,1498,23,4
588,1403,34,3
589,1357,27,4
590,1077,20,4
591,1095,49,5
592,1243,16,2
593,1154,46,2
594,1413,30,1
595,1288,27,4
596,1286,34,2
597,1199,16,3
598,1105,22,1
599,1473,29,3
600,1048,35,2
601,1027,18,4
602,1345,39,5
603,1021,5,2
604,1412,49,5
605,1371,43,5
606,1112,31,2
607,1446,22,3
608,1490,1,2
609,1480,13,1
610,1383,49,4
611,1469,16,5
612,1361,14,4
613,1469,16,5
614,1165,50,3
615,1195,30,5
616,1333,23,3
617,1134,24,5
618,1452,32,4
619,1051,47,4
620,1390,21,2
621,1190,21,4
622,1024,37,2
623,1380,10,1
624,1134,36,5
625,1297,47,4
626,1152,10,2
627,1169,15,4
628,1292,16,4
629,1282,42,3
630,1132,49,4
631,1495,47,4
632,1236,11,3
633,1087,9,5
634,1251,12,5
635,1329,4,5
636,1018,5,1
637,1392,1,4
638,1071,41,2
639,1035,46,2
640,1005,14,5
641,1234,24,1
642,1317,41,5
643,1468,31,4
644,1009,1,5
645,1283,27,1
646,1009,34,3
647,1275,19,1
648,1258,45,4
649,1413,12,1
650,1471,7,5
651,1077,16,2
652,1318,34,3
653,1418,23,3
654,1408,26,1
655,1192,26,4
656,1290,16,2
657,1154,44,1
658,1335,42,1
659,1048,26,4
660,1194,36,4
661,1029,41,1
662,1360,11,1
663,1256,28,3
664,1290,7,5
665,1471,3,2
666,1109,45,5
667,1244,18,1
668,1474,5,3
669,1461,35,5
670,1337,3,2
671,1476,21,1
672,1493,14,5
673,1074,49,4
674,1476,5,3
675,1084,37,2
676,1291,25,5
677,1170,25,2
678,1405,45,1
679,1257,48,3
680,1028,7,4
681,1119,5,3
682,1310,50,5
683,1489,39,4
684,1497,50,3
685,1016,41,3
686,1402,29,4
687,1117,23,5
688,1482,25,4
689,1096,44,5
690,1339,25,1
691,1396,40,3
692,1409,16,1
693,1043,18,2
694,1195,46,2
695,1379,25,3
696,1185,7,1
697,1003,20,4
698,1185,49,3
699,1053,9,1
700,1096,28,4
701,1286,36,5
702,1209,7,1
703,1046,23,5
704,1048,39,5
705,1402,21,4
706,1007,19,4
707,1199,50,1
708,1372,36,2
709,1293,34,2
710,1351,25,2
711,1072,18,3
712,1138,32,2
713,1033,11,4
714,1142,27,3
715,1248,5,3
716,1129,16,4
717,1305,40,2
718,1235,7,2
719,1156,1,4
720,1171,40,4
721,1412,22,4
722,1172,28,5
723,1070,20,3
724,1309,45,2
725,1246,21,2
726,1494,26,3
727,1150,48,4
728,1496,37,2
729,1167,25,3
730,1419,26,3
731,1059,37,2
732,1304,35,2
733,1350,50,5
734,1014,47,4
735,1483,46,2
736,1225,19,1
737,1420,27,4
738,1072,41,3
739,1124,17,2
740,1367,28,4
741,1038,29,5
742,1246,38,4
743,1274,33,4
744,1279,3,3
745,1360,35,5
746,1327,6,1
747,1394,16,3
748,1086,42,5
749,1023,37,4
750,1496,49,3
751,1495,28,1
752,1006,7,3
753,1114,33,5
754,1286,38,5
755,1114,29,3
756,1201,30,5
757,1354,33,2
758,1177,2,4
759,1054,19,4
760,1472,6,1
761,1426,47,2
762,1179,20,3
763,1234,14,5
764,1248,23,4
765,1050,29,4
766,1164,5,3
767,1023,46,1
768,1012,22,1
769,1347,11,2
770,1265,12,5
771,1082,22,5
772,1219,30,2
773,1409,26,2
774,1096,41,4
775,1203,2,5
776,1453,13,4
777,1304,28,4
778,1003,46,2
779,1106,18,1
780,1296,7,5
781,1096,24,3
782,1101,30,1
783,1135,43,4
784,1271,41,3
785,1306,25,5
786,1201,38,1
787,1179,23,4
788,1317,12,3
789,1471,40,5
790,1044,44,2
791,1161,8,2
792,1157,8,2
793,1192,45,2
794,1262,25,4
795,1306,9,5
796,1197,28,2
797,1250,41,5
798,1356,42,2
799,1285,11,4
800,1148,9,2
801,1162,29,5
802,1028,23,1
803,1249,9,2
804,1418,25,5
805,1259,42,4
806,1210,44,4
807,1213,46,4
808,1251,11,1
809,1290,2,2
810,1150,3,3
811,1116,35,3
812,1087,50,4
813,1290,48,4
814,1282,33,1
815,1294,8,3
816,1397,35,3
817,1278,49,1
818,1390,47,4
819,1280,14,4
820,1053,48,2
821,1153,3,4
822,1135,23,1
823,1225,8,2
824,1108,48,5
825,1353,23,5
826,1324,28,2
827,1316,9,2
828,1417,14,1
829,1292,23,5
830,1144,39,5
831,1087,21,3
832,1149,37,3
833,1488,33,1
834,1070,49,4
835,1471,4,3
836,1444,42,2
837,1360,9,2
838,1075,46,3
839,1425,16,4
840,1251,10,5
841,1324,18,4
842,1193,29,1
843,1325,50,1
844,1207,33,3
845,1356,24,4
846,1487,32,3
847,1298,1,1
848,1375,30,3
849,1436,5,5
850,1204,14,4
851,1423,14,4
852,1138,21,3
853,1173,36,5
854,1067,37,4
855,1404,22,1
856,1024,7,4
857,1009,8,2
858,1226,30,1
859,1491,28,2
860,1353,9,3
861,1082,18,1
862,1336,24,3
863,1043,24,2
864,1027,26,3
865,1372,45,2
866,1220,42,1
867,1361,7,1
868,1110,31,1
869,1068,38,2
870,1266,44,4
871,1005,1,3
872,1419,8,4
873,1356,9,4
874,1037,15,4
875,1046,47,1
876,1053,21,3
877,1452,20,2
878,1196,50,2
879,1329,44,2
880,1036,34,5
881,1005,40,2
882,1226,23,2
883,1322,48,2
884,1471,27,5
885,1352,29,2
886,1045,7,2
887,1386,8,5
888,1374,25,3
889,1494,28,3
890,1406,9,2
891,1142,42,1
892,1128,36,5
893,1308,47,5
894,1146,50,1
895,1435,43,3
896,1106,34,5
897,1261,13,4
898,1152,42,1
899,1402,16,4
900,1198,8,2
901,1256,41,5
902,1037,34,1
903,1185,21,2
904,1199,37,4
905,1188,35,2
906,1391,31,1
907,1009,38,1
908,1008,17,2
909,1021,4,4
910,1260,19,5
911,1393,27,4
912,1360,26,1
913,1328,35,5
914,1316,10,3
915,1043,20,1
916,1262,14,2
917,1275,21,4
918,1301,41,1
919,1159,45,4
920,1374,16,1
921,1126,6,4
922,1060,30,5
923,1312,4,3
924,1342,48,2
925,1062,1,2
926,1360,1,2
927,1255,23,5
928,1265,47,3
929,1086,24,2
930,1384,50,3
931,1376,8,1
932,1172,28,3
933,1269,5,3
934,1365,37,1
935,1255,30,5
936,1185,4,4
937,1440,37,2
938,1189,11,3
939,1396,7,5
940,1346,47,1
941,1117,48,5
942,1002,3,1
943,1126,3,4
944,1187,25,2
945,1092,3,5
946,1412,46,4
947,1115,21,2
948,1214,47,3
949,1139,5,5
950,1191,8,5
951,1345,4,2
952,1115,34,1
953,1489,26,1
954,1450,30,3
955,1397,20,3
956,1045,36,4
957,1005,24,2
958,1150,37,3
959,1379,40,2
960,1238,24,5
961,1498,32,2
962,1376,35,2
963,1078,1,4
964,1013,15,5
965,1178,41,1
966,1487,22,1
967,1389,43,4
968,1435,48,3
969,1054,14,5
970,1122,27,4
971,1493,4,2
972,1365,18,1
973,1023,15,5
974,1212,45,3
975,1235,48,1
976,1298,7,5
977,1069,41,4
978,1039,38,5
979,1032,28,2
980,1122,19,3
981,1436,21,4
982,1359,48,3
983,1163,29,3
984,1120,5,2
985,1070,50,5
986,1056,10,1
987,1085,29,4
988,1161,27,1
989,1275,23,2
990,1232,20,4
991,1136,8,1
992,1081,44,3
993,1424,46,5
994,1021,14,3
995,1076,6,2
996,1496,23,4
997,1263,4,3
998,1134,12,1
999,1488,26,4
1000,1285,48,5
